City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Jalor,IN,66.87,clear sky,25.35,72.62,Hotel VIJAY VIHAR
230,Cockburn Town,TC,81.93,overcast clouds,21.46,-71.14,Osprey Beach Hotel
231,Touros,BR,80.6,broken clouds,-5.2,-35.46,INN NEW HORIZON
232,Potiskum,NG,76.14,overcast clouds,11.71,11.07,Tamir Hotel Ltd
234,Gayeri,BF,79.43,few clouds,12.65,0.49,
239,Shagamu,NG,75.72,overcast clouds,6.84,3.65,Remo Majestic Hotel
240,San Patricio,US,70.0,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
241,Cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
242,Faanui,PF,80.42,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Sao Filipe,CV,78.94,overcast clouds,14.9,-24.5,Tortuga B&B
249,Vanimo,PG,86.29,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
250,Quelimane,MZ,71.6,few clouds,-17.88,36.89,Hotel Flamingo
253,Broken Hill,AU,78.8,scattered clouds,-31.95,141.43,Daydream Motel & Cottages
255,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
257,Tshela,CD,73.76,overcast clouds,-4.98,12.93,Hotel Mirador
259,San Quintin,MX,68.5,clear sky,30.48,-115.95,Old Mill Hotel
264,Sesheke,ZM,77.0,clear sky,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
265,Vavoua,CI,71.69,clear sky,7.38,-6.48,Hotel La Sougoun
266,Lubao,PH,78.8,moderate rain,14.92,120.55,Hacienda Gracia
267,Mahibadhoo,MV,82.26,clear sky,3.78,72.97,Omadhoo Inn
268,Namibe,AO,70.75,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
271,Lakes Entrance,AU,73.0,scattered clouds,-37.88,147.98,The Esplanade Resort & Spa
276,Naze,JP,80.6,few clouds,28.37,129.48,奄美ポートタワーホテル
278,Mildura,AU,80.6,clear sky,-34.2,142.15,Mercure Hotel Mildura
280,Codrington,AU,72.19,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
283,Kandrian,PG,85.35,light rain,-6.22,149.55,Kandrian Station
284,Eyl,SO,78.03,clear sky,7.98,49.82,Amiin Hotel
285,Vila Velha,BR,69.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
290,Katsuura,JP,66.2,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
294,Tateyama,JP,68.0,light intensity shower rain,34.98,139.87,Tateyama Seaside Hotel
297,Sao Jose Da Coroa Grande,BR,77.31,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
299,Simao,CN,65.93,few clouds,22.79,100.97,Changyu Hotel
301,Erzin,TR,66.99,broken clouds,36.96,36.2,Artemis Otel
303,Itoman,JP,80.6,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
304,Galle,LK,78.64,broken clouds,6.04,80.22,Amangalla
305,Kidal,ML,73.92,clear sky,18.44,1.41,
306,Alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
308,Saint Augustine,US,69.8,clear sky,29.89,-81.31,St. George Inn
309,Maragogi,BR,76.98,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
310,Asyut,EG,68.0,clear sky,27.18,31.18,Florence Hotel Assiut
312,Aripuana,BR,71.85,light rain,-9.17,-60.63,
313,Farafangana,MG,70.18,overcast clouds,-22.82,47.83,Austral Hotel
315,Kapoeta,SS,78.44,overcast clouds,4.77,33.59,Eastgate Hotel
316,Imuris,MX,76.53,few clouds,30.78,-110.87,"SINAÍ DE ÍMURIS CASA HOGAR, A.C."
319,Sorong,ID,83.07,light rain,-0.88,131.25,The Waigo Hotel
320,Port Macquarie,AU,68.0,broken clouds,-31.43,152.92,Rydges Port Macquarie
324,Pringsewu,ID,81.46,heavy intensity rain,-5.36,104.97,Urban Style by Front One
325,Muisne,EC,75.51,overcast clouds,0.6,-80.03,Quinta Samay
328,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
330,Dicabisagan,PH,80.28,moderate rain,17.08,122.42,Nancy Montanes Bernardo
333,Isangel,VU,86.0,broken clouds,-19.55,169.27,Volcano Sea View Tree House
334,Nouadhibou,MR,73.4,overcast clouds,20.93,-17.03,El Medina
335,Houma,US,66.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
337,Port Hedland,AU,84.2,scattered clouds,-20.32,118.57,The Esplanade Hotel
341,Bandarbeyla,SO,76.26,clear sky,9.49,50.81,REER XOOSHLE GROUP
342,Lorengau,PG,87.31,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
343,Sibu,MY,80.6,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
347,Bengkulu,ID,78.91,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
348,Ampanihy,MG,66.24,clear sky,-24.7,44.75,Angora Hotel
355,Paragominas,BR,79.07,clear sky,-2.97,-47.48,HOTEL RODA VIVA
358,Cao Bang,VN,70.97,light rain,22.67,106.25,khách sạn 88
359,Acapulco,MX,81.07,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
362,Maneadero,MX,68.0,clear sky,31.72,-116.57,Casa De Thompson
365,Meulaboh,ID,77.34,moderate rain,4.14,96.13,Kost Pria
366,San Juan,AR,70.72,clear sky,-31.54,-68.54,Hotel Provincial
368,Jupiter,US,81.0,light rain,26.93,-80.09,Jupiter Beach Resort & Spa
369,Galveston,US,70.0,clear sky,29.37,-94.97,Comfort Inn & Suites Texas City
373,Geraldton,AU,66.2,light rain,-28.77,114.6,Broadwater Mariner Resort
376,Mananjary,MG,69.48,overcast clouds,-21.22,48.33,Vahiny Lodge
377,Bangassou,CF,68.34,overcast clouds,4.74,22.82,
379,Nisia Floresta,BR,80.6,broken clouds,-6.09,-35.21,Rancho Crepusculo
380,Cayenne,GF,78.8,light rain,4.93,-52.33,Hôtel Le Dronmi
382,Anito,PH,81.86,overcast clouds,12.45,125.29,The Yellow House
384,Half Moon Bay,US,77.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
385,Karratha,AU,77.83,broken clouds,-20.74,116.85,ibis Styles Karratha
386,Kudahuvadhoo,MV,82.29,few clouds,2.67,72.89,Kudahuvadhoo Retreat
388,Neuquen,AR,75.2,clear sky,-38.95,-68.06,Hotel del Comahue
391,Bilma,NE,70.38,clear sky,18.69,12.92,Expeditions Ténére voyages
392,Simoes,BR,77.61,light rain,-7.6,-40.82,Hotel Ponto Certo
393,Katobu,ID,85.96,overcast clouds,-4.94,122.53,La Ode Husein
401,Khartoum,SD,86.0,clear sky,15.55,32.53,Hotel China
402,Pangai,TO,80.6,few clouds,-19.8,-174.35,Ha'apai Beach Resort
403,Bambanglipuro,ID,81.93,broken clouds,-7.95,110.28,Puri Brata
407,Maraa,BR,74.48,clear sky,-1.83,-65.37,
411,Mudon,MM,78.3,clear sky,16.26,97.72,Motel Mudon
412,Anloga,GH,79.95,clear sky,5.79,0.9,Pin Drop Hotel
415,Adrar,MR,77.97,overcast clouds,20.5,-10.07,
416,Wanning,CN,74.98,few clouds,18.8,110.4,Paradise Hotel
417,Belmonte,BR,68.0,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
424,Ngunguru,NZ,73.99,overcast clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
425,Camacha,PT,66.2,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
426,Hatillo,PR,77.0,clear sky,18.49,-66.83,Hotel Parador El Buen Cafe
428,Biltine,TD,79.03,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
434,Sambava,MG,68.16,clear sky,-14.27,50.17,Melrose
435,Sri Aman,MY,80.6,few clouds,1.24,111.46,Seri Simanggang Hotel
436,Saint-Louis,SN,78.8,clear sky,16.33,-15.0,
437,Ulladulla,AU,66.2,broken clouds,-35.35,150.47,Sandpiper Motel
438,Dingle,PH,82.78,light rain,11.0,122.67,Camp Pasica
442,Rawson,AR,75.16,overcast clouds,-43.3,-65.1,Hotel Punta León
443,Brokopondo,SR,76.3,light rain,4.75,-55.17,Matu Island
445,Jinxiang,CN,69.44,scattered clouds,27.43,120.61,Wolong Village
448,Labranzagrande,CO,68.13,moderate rain,5.56,-72.58,"Labranzagrande, Boyacá"
450,Ocos,GT,82.4,scattered clouds,14.51,-92.19,La Bajadita
452,Santo Domingo,DO,82.99,scattered clouds,18.5,-69.99,Micro Hotel Condo Suites
454,Gambela,ET,69.33,scattered clouds,8.25,34.58,Solomon Debebe Hotel
455,Juchitlan,MX,72.84,clear sky,20.08,-104.12,La cabaña
458,Gat,IL,71.01,overcast clouds,31.61,34.76,OlusHome
461,Alice Springs,AU,87.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
463,Cartagena,CO,80.6,scattered clouds,10.4,-75.51,Costa Del Sol
464,Marsh Harbour,BS,80.11,clear sky,26.54,-77.06,Abaco Beach Resort
465,Pokaran,IN,67.87,very heavy rain,26.92,71.92,Motel Pokaran - RTDC
467,Shakawe,BW,72.3,clear sky,-18.37,21.85,Ditlhapi Guest House
468,Sumbe,AO,76.33,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
470,Santa Cruz Cabralia,BR,68.0,broken clouds,-16.28,-39.02,Portobali Hotel
472,Moroni,KM,75.07,overcast clouds,-11.7,43.26,Hotel les Arcades
473,Lupiro,TZ,72.99,broken clouds,-8.38,36.67,AFRICAN JACCANA EXECUTIVE LODGE
474,Garowe,SO,73.78,clear sky,8.41,48.48,Curubo Hotel
476,Carnarvon,AU,71.6,scattered clouds,-24.87,113.63,Hospitality Carnarvon
480,Isiro,CD,66.11,overcast clouds,2.77,27.62,Nova
481,Norsup,VU,84.2,scattered clouds,-16.07,167.38,Nabelchel Bungalows
484,Kavaratti,IN,80.96,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
485,Cap Malheureux,MU,66.99,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
486,Saint-Leu,RE,69.8,overcast clouds,-21.15,55.28,La Caz Oceane
487,Sabang,ID,81.82,light rain,5.89,95.32,Hotel Citra
488,Bouca,CF,70.29,overcast clouds,6.51,18.27,
492,San Pablo,PH,84.0,broken clouds,14.07,121.33,Ang Tahanan ni Aling Meding Hotel and Restaurant
494,Sinnamary,GF,80.89,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
496,Munxar,MT,66.0,few clouds,36.03,14.23,Hotel Ta' Cenc & Spa
497,Harij,IN,71.29,clear sky,23.7,71.9,Gurukupa hotel
502,Mitsamiouli,KM,76.68,overcast clouds,-11.38,43.28,Foyer ADM
504,Daru,PG,86.36,scattered clouds,-9.08,143.21,New century hotel
509,Baiao,BR,80.15,clear sky,-2.79,-49.67,Hotel Eurosono
512,Port Keats,AU,92.59,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
513,Dubbo,AU,73.4,clear sky,-32.25,148.62,Comfort Inn Blue Lagoon
519,Ukiah,US,75.2,clear sky,39.15,-123.21,Hampton Inn Ukiah
525,Kon Tum,VN,71.82,overcast clouds,14.35,108.0,Hoa đà spa- homestay
526,Kencong,ID,81.97,broken clouds,-8.28,113.37,PP. AL-QUR'AN AL-FADHILAH
528,Moissala,TD,74.21,overcast clouds,8.34,17.77,
