City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Hasaki,JP,35.73,140.83,64.4,93,75,9.17,mist
166,Sompeta,IN,18.93,84.6,78.12,75,47,4.52,scattered clouds
167,Talnakh,RU,69.49,88.4,19.4,85,75,6.71,broken clouds
168,Breytovo,RU,58.3,37.86,35.04,89,89,9.35,overcast clouds
169,Mago,RU,53.25,140.18,39.24,89,100,3.42,light rain
170,Valparaiso,CL,-33.04,-71.63,53.6,87,40,8.05,scattered clouds
171,Ostrovnoy,RU,68.05,39.51,38.8,92,100,23.15,overcast clouds
172,Puri,IN,19.8,85.85,78.8,88,20,3.36,haze
173,Salta,AR,-24.79,-65.41,69.8,30,0,6.93,clear sky
174,Mundra,IN,22.85,69.73,77.77,40,0,8.95,clear sky
175,Manicore,BR,-5.81,-61.3,80.6,83,0,3.36,clear sky
176,Rio Grande,BR,-32.03,-52.1,53.01,91,0,5.46,clear sky
177,Bradford,GB,53.79,-1.75,62.01,65,100,21.79,moderate rain
178,Puerto Ayora,EC,-0.74,-90.35,69.01,91,100,7.0,overcast clouds
179,Port-Cartier,CA,50.03,-66.87,39.0,93,100,4.7,overcast clouds
180,Fernie,CA,49.5,-115.07,50.0,55,1,4.7,clear sky
181,Teya,RU,60.38,92.63,33.8,91,100,12.84,overcast clouds
182,Waipawa,NZ,-41.41,175.52,55.99,93,100,14.99,light rain
183,Zambezi,ZM,-13.54,23.1,65.28,39,0,4.18,clear sky
184,Okha,RU,53.57,142.95,42.69,97,100,15.7,moderate rain
185,Henties Bay,NA,-22.12,14.28,55.0,91,75,1.01,broken clouds
186,Bida,NG,9.08,6.02,76.03,49,26,0.6,scattered clouds
187,Kattivakkam,IN,13.22,80.32,77.0,100,20,3.36,mist
188,Caravelas,BR,-17.71,-39.25,71.78,84,100,10.54,light rain
189,Mahebourg,MU,-20.41,57.7,64.4,100,20,4.7,few clouds
190,Nuuk,GL,64.18,-51.72,23.0,92,16,5.82,light snow
191,Jimma,ET,7.67,36.83,55.31,84,15,1.52,few clouds
192,Madang,PG,-5.22,145.8,87.53,57,56,4.07,broken clouds
193,Luganville,VU,-15.53,167.17,84.2,70,40,11.41,scattered clouds
194,Colquechaca,BO,-18.67,-66.02,35.38,95,97,7.38,overcast clouds
195,Naryan-Mar,RU,67.67,53.09,32.31,98,99,10.29,overcast clouds
196,Kodiak,US,57.79,-152.41,30.2,39,90,14.99,overcast clouds
197,Nanyamba,TZ,-10.68,39.83,71.6,94,75,0.09,broken clouds
198,Shawville,CA,45.6,-76.48,37.99,93,42,1.01,scattered clouds
199,Atambua,ID,-9.11,124.89,87.1,44,86,2.95,overcast clouds
200,Juneau,US,58.3,-134.42,32.0,94,90,11.41,snow
201,Viedma,AR,-40.81,-63.0,64.0,52,0,18.68,clear sky
202,Axim,GH,4.87,-2.24,77.77,89,29,6.2,scattered clouds
203,Taoudenni,ML,22.68,-3.98,77.47,18,100,15.9,overcast clouds
204,Nanortalik,GL,60.14,-45.24,31.73,88,0,41.45,clear sky
205,Zarubino,RU,42.63,131.09,42.49,58,0,19.98,clear sky
206,Gunjur,GM,13.2,-16.73,78.8,94,0,4.7,clear sky
207,Kaniama,CD,-7.57,24.18,64.87,91,62,1.92,broken clouds
208,Kununurra,AU,-15.77,128.73,95.0,41,96,4.7,overcast clouds
209,Kemijarvi,FI,66.71,27.43,38.77,89,100,11.43,overcast clouds
210,Clyde River,CA,70.47,-68.59,12.2,78,75,8.05,broken clouds
211,Provideniya,RU,64.38,-173.3,26.6,63,0,4.47,clear sky
212,Victoria,HK,22.29,114.16,78.01,63,100,3.0,overcast clouds
213,Muzhi,RU,65.37,64.67,23.52,93,100,12.41,overcast clouds
214,Saint George,US,37.1,-113.58,71.6,11,1,3.36,clear sky
215,Kaitangata,NZ,-46.28,169.85,54.0,64,95,11.01,overcast clouds
216,Gouyave,GD,12.16,-61.73,77.0,94,75,17.22,broken clouds
217,Waynesboro,US,38.07,-78.89,48.2,31,75,8.05,broken clouds
218,Sairang,IN,23.8,92.67,72.59,87,93,1.66,overcast clouds
219,Barbacoas,CO,1.67,-78.14,75.54,90,99,2.01,light rain
220,Pacific Grove,US,36.62,-121.92,68.0,72,1,6.46,clear sky
221,Fare,PF,-16.7,-151.02,80.69,79,44,20.45,light rain
222,Emiliano Zapata,MX,18.83,-99.18,57.2,62,75,13.87,broken clouds
223,Jalor,IN,25.35,72.62,66.87,27,0,0.78,clear sky
224,Kamenka,RU,51.32,42.77,41.02,77,68,9.33,broken clouds
225,Miles City,US,46.41,-105.84,50.0,39,1,5.82,clear sky
226,Vila Franca Do Campo,PT,37.72,-25.43,62.6,82,75,9.17,broken clouds
227,Mulchen,CL,-37.72,-72.23,59.88,83,48,1.05,scattered clouds
228,Isperih,BG,43.72,26.83,46.99,74,0,6.76,clear sky
229,Seoul,KR,37.57,126.98,55.4,71,1,4.83,clear sky
230,Cockburn Town,TC,21.46,-71.14,81.93,76,100,18.66,overcast clouds
231,Touros,BR,-5.2,-35.46,80.6,78,75,10.29,broken clouds
232,Potiskum,NG,11.71,11.07,76.14,24,89,10.07,overcast clouds
233,Kysyl-Syr,RU,63.9,122.76,0.01,91,25,7.72,scattered clouds
234,Gayeri,BF,12.65,0.49,79.43,21,11,7.29,few clouds
235,Constitucion,CL,-35.33,-72.42,51.98,89,30,6.51,scattered clouds
236,Tiksi,RU,71.69,128.87,-4.95,90,0,7.02,clear sky
237,Thunder Bay,CA,48.4,-89.32,23.0,57,5,4.7,clear sky
238,Upernavik,GL,72.79,-56.15,16.54,92,97,3.24,overcast clouds
239,Shagamu,NG,6.84,3.65,75.72,95,95,2.37,overcast clouds
240,San Patricio,US,28.02,-97.52,70.0,64,1,6.93,clear sky
241,Cabedelo,BR,-6.98,-34.83,78.8,83,75,6.93,broken clouds
242,Faanui,PF,-16.48,-151.75,80.42,79,0,20.67,clear sky
